,Company,Subscritpion Status,Minimum Investment,Lot size,Issue size,No. of Shares,Price Range,Post issue promoter holding,Sector,Industry,Nse_symbol_Bse_Code
666,Garuda Construction and Engineering Ltd.,7.55 x Oversubscribed,"₹14,444",157,"₹2,557.6 M - ₹2,641.0 M",27.8 M,₹92 - ₹95,67.56 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: GARUDA | BSE: 544271 | ASM
667,Shiv Texchem Ltd.,145.67 x Oversubscribed,"₹126,400",800,"₹964.7 M - ₹1,013.5 M",6.1 M,₹158 - ₹166,73.65 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : DISTRIBUTORS,BSE: 544272
668,Khyati Global Ventures Ltd.,14.46 x Oversubscribed,"₹118,800",1200,₹183.0 M,1.8 M,₹99,62.86 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,BSE: 544270
669,Neopolitan Pizza,31.13 x Oversubscribed,"₹120,000",6000,₹120.0 M,6.0 M,₹20,47.03 %,SECTOR : HOTELS RESTAURANTS & TOURISM,INDUSTRY : RESTAURANTS,BSE: 544269
670,Subam Papers Ltd.,86.49 x Oversubscribed,"₹115,200",800,₹887.7 M - ₹937.0 M,6.2 M,₹144 - ₹152,69.67 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : PAPER & PAPER PRODUCTS,BSE: 544267
671,Paramount Dye Tec Ltd.,46.63 x Oversubscribed,"₹133,200",1200,₹269.7 M - ₹284.3 M,2.4 M,₹111 - ₹117,64.98 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,NSE: PARAMOUNT
672,Saj Hotels Ltd.,5.17 x Oversubscribed,"₹130,000",2000,₹276.3 M,4.3 M,₹65,61.95 %,SECTOR : HOTELS RESTAURANTS & TOURISM,INDUSTRY : HOTELS,NSE: SAJHOTELS
673,HVAX Technologies Ltd.,31.83 x Oversubscribed,"₹130,500",300,₹318.4 M - ₹335.3 M,732.0 K,₹435 - ₹458,66.65 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: HVAX
674,Diffusion Engineers Ltd.,114.49 x Oversubscribed,"₹13,992",88,"₹1,495.4 M - ₹1,580.0 M",9.4 M,₹159 - ₹168,69.7 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL GOODS,NSE: DIFFNKG | BSE: 544264
675,Forge Auto International Ltd.,45.85 x Oversubscribed,"₹122,400",1200,₹293.8 M - ₹311.0 M,2.9 M,₹102 - ₹108,73.63 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL PRODUCTS,NSE: FORGEAUTO
676,Sahasra Electronic Solutions Ltd.,113.62 x Oversubscribed,"₹107,600",400,"₹1,769.5 M - ₹1,861.6 M",6.6 M,₹269 - ₹283,69.9 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : ELECTRONIC COMPONENTS,NSE: SAHASRA
677,Divyadhan Recycling Industries Ltd.,38 x Oversubscribed,"₹120,000",2000,₹226.6 M - ₹241.7 M,3.8 M,₹60 - ₹64,69.24 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,NSE: DIVYADHAN
678,Nexxus Petro Industries Ltd.,8.07 x Oversubscribed,"₹126,000",1200,₹194.3 M,1.9 M,₹105,73.38 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : PETROCHEMICALS,BSE: 544265
679,KRN Heat Exchanger and Refrigeration Ltd.,214.42 x Oversubscribed,"₹13,585",65,"₹3,244.3 M - ₹3,415.1 M",15.5 M,₹209 - ₹220,70.81 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : ELECTRONIC COMPONENTS,NSE: KRN | BSE: 544263
680,Thinking Hats Entertainment Solutions Ltd.,305.43 x Oversubscribed,"₹126,000",3000,₹144.0 M - ₹150.9 M,3.4 M,₹42 - ₹44,56.79 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: THESL
681,Techera Engineering India Ltd.,65.35 x Oversubscribed,"₹120,000",1600,₹328.3 M - ₹359.0 M,4.4 M,₹75 - ₹82,42.25 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : AEROSPACE & DEFENCE,NSE: TECHERA
682,Unilex Colours and Chemicals Ltd.,33.23 x Oversubscribed,"₹131,200",1600,₹295.2 M - ₹313.2 M,3.6 M,₹82 - ₹87,73.56 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : SPECIALTY CHEMICALS,NSE: UNILEX
683,Manba Finance Ltd.,224.1 x Oversubscribed,"₹14,250",125,"₹1,433.0 M - ₹1,508.4 M",12.6 M,₹114 - ₹120,74.98 %,SECTOR : BANKING AND FINANCE,INDUSTRY : FINANCE (INCLUDING NBFCS),NSE: MANBA | BSE: 544262
684,Rappid Valves (India) Ltd.,163.64 x Oversubscribed,"₹126,000",600,₹287.7 M - ₹304.1 M,1.4 M,₹210 - ₹222,51.13 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL PRODUCTS,NSE: RAPPID
685,WOL 3D India Ltd.,347 x Oversubscribed,"₹142,000",1000,₹242.0 M - ₹255.6 M,1.7 M,₹142 - ₹150,65.48 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: WOL3D
686,Bikewo Green Tech Ltd.,39.76 x Oversubscribed,"₹118,000",2000,₹229.3 M - ₹240.9 M,3.9 M,₹59 - ₹62,62.48 %,SECTOR : RETAILING,INDUSTRY : SPECIALTY RETAIL,NSE: BIKEWO
687,Phoenix Overseas Ltd.,115.11 x Oversubscribed,"₹122,000",2000,₹343.4 M - ₹360.3 M,5.6 M,₹61 - ₹64,70.26 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,NSE: PHOGLOBAL
688,Avi Ansh Textile Ltd.,7.95 x Oversubscribed,"₹124,000",2000,₹260.0 M,4.2 M,₹62,66.98 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,NSE: AVIANSH
689,S D Retail Ltd.,90.31 x Oversubscribed,"₹124,000",1000,₹615.0 M - ₹649.8 M,5.0 M,₹124 - ₹131,65.29 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : OTHER APPARELS & ACCESSORIES,NSE: SDREAMS
690,Kalana Ispat Ltd.,54.77 x Oversubscribed,"₹132,000",2000,₹325.9 M,4.9 M,₹66,62.13 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL/INTERM.PRODUCTS,NSE: KALANA
691,Paramount Speciality Forgings Ltd.,68.71 x Oversubscribed,"₹114,000",2000,₹312.5 M - ₹323.4 M,5.5 M,₹57 - ₹59,72.15 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL PRODUCTS,NSE: PSFL
692,Pelatro Ltd.,20.7 x Oversubscribed,"₹114,000",600,₹531.8 M - ₹559.8 M,2.8 M,₹190 - ₹200,53.59 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : BPO/KPO,NSE: PELATRO
693,Arkade Developers Ltd.,106.83 x Oversubscribed,"₹13,310",110,"₹3,875.8 M - ₹4,100.0 M",32.0 M,₹121 - ₹128,70.82 %,SECTOR : REALTY,INDUSTRY : REALTY,NSE: ARKADE | BSE: 544261
694,Northern Arc Capital,110.91 x Oversubscribed,"₹14,193",57,"₹7,356.4 M - ₹7,770.0 M",29.5 M,₹249 - ₹263,-,SECTOR : BANKING AND FINANCE,INDUSTRY : FINANCE (INCLUDING NBFCS),NSE: NORTHARC | BSE: 544260
695,Osel Devcies Ltd.,180.68 x Oversubscribed,"₹124,000",800,₹684.5 M - ₹706.6 M,4.4 M,₹155 - ₹160,71.53 %,SECTOR : CONSUMER DURABLES,INDUSTRY : OTHER ELECTRICAL EQUIPMENT/PRODUCTS,NSE: OSELDEVICE
696,Popular Foundations Ltd.,8.8 x Oversubscribed,"₹111,000",3000,₹198.7 M,5.4 M,₹37,61.39 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,BSE: 544259
697,Western Carriers (India) Ltd.,30.57 x Oversubscribed,"₹14,181",87,"₹4,670.9 M - ₹4,928.8 M",28.7 M,₹163 - ₹172,71.89 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,NSE: WCIL | BSE: 544258
698,Envirotech Systems Ltd.,75.73 x Oversubscribed,"₹106,000",2000,₹286.2 M - ₹302.4 M,5.4 M,₹53 - ₹56,68.75 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL PRODUCTS,NSE: ENVIRO
699,Deccan Transcon Leasing Ltd.,96.27 x Oversubscribed,"₹122,400",1200,₹614.4 M - ₹650.6 M,6.0 M,₹102 - ₹108,63.78 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,NSE: DECCANTRAN
700,Sodhani Academy of Fintech Enablers Ltd.,416.4 x Oversubscribed,"₹120,000",3000,₹61.2 M,1.5 M,₹40,82.96 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : EDUCATION,BSE: 544257
701,Excellent Wires,19.38 x Oversubscribed,"₹144,000",1600,₹126.0 M,1.4 M,₹90,63.11 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,NSE: EXCELLENT
702,Innomet Advanced Materials Ltd.,282.51 x Oversubscribed,"₹120,000",1200,₹342.4 M,3.4 M,₹100,54.8 %,SECTOR : METALS & MINING,INDUSTRY : OTHER NON-FERROUS METALS,NSE: INNOMET
703,P N Gadgil Jewellers Ltd.,59.4 x Oversubscribed,"₹14,136",31,"₹10,450.0 M - ₹11,000.0 M",22.9 M,₹456 - ₹480,83.11 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : GEMS & JEWELLERY,NSE: PNGJL | BSE: 544256
704,SPP Polymer Ltd.,39.08 x Oversubscribed,"₹118,000",2000,₹244.9 M,4.2 M,₹59,69.38 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : PLASTIC PRODUCTS,NSE: SPPPOLY
705,Kross Ltd.,16.81 x Oversubscribed,"₹14,136",62,"₹4,750.0 M - ₹5,000.0 M",20.8 M,₹228 - ₹240,67.7 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO PARTS & EQUIPMENT,NSE: KROSS | BSE: 544253
706,Tolins Tyres Ltd.,23.9 x Oversubscribed,"₹14,190",66,"₹2,188.1 M - ₹2,300.0 M",10.2 M,₹215 - ₹226,68.53 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO TYRES & RUBBER PRODUCTS,NSE: TOLINS | BSE: 544254
707,Bajaj Housing Finance Ltd.,63.61 x Oversubscribed,"₹14,124",214,"₹61,851.4 M - ₹65,600.0 M",937.1 M,₹66 - ₹70,88.75 %,SECTOR : BANKING AND FINANCE,INDUSTRY : HOUSING FINANCE,NSE: BAJAJHFL | BSE: 544252
708,Shubhshree Biofuels Energy Ltd.,119.37 x Oversubscribed,"₹135,600",1200,₹157.3 M - ₹165.6 M,1.4 M,₹113 - ₹119,73.45 %,SECTOR : UTILITIES,INDUSTRY : UTILITIES:NON-ELECTRICAL,NSE: SHUBHSHREE
709,Aditya Ultra Steel Ltd.,10.22 x Oversubscribed,"₹118,000",2000,₹436.6 M - ₹458.8 M,7.4 M,₹59 - ₹62,68.76 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,NSE: AUSL
710,Share Samadhan Ltd.,13.63 x Oversubscribed,"₹112,000",1600,₹227.6 M - ₹240.6 M,3.3 M,₹70 - ₹74,62.52 %,SECTOR : BANKING AND FINANCE,INDUSTRY : OTHER FINANCIAL SERVICES,BSE: 544251
711,Gajanand International Ltd.,14.28 x Oversubscribed,"₹108,000",3000,₹206.5 M,5.7 M,₹36,62.94 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,NSE: GAJANAND
712,Vision Infra Equipment Solutions Ltd.,2.91 x Oversubscribed,"₹124,000",800,"₹1,010.0 M - ₹1,062.1 M",6.5 M,₹155 - ₹163,70.2 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: VIESL
713,My Mudra Fincorp,95.28 x Oversubscribed,"₹124,800",1200,₹314.5 M - ₹332.6 M,3.0 M,₹104 - ₹110,57.83 %,SECTOR : BANKING AND FINANCE,INDUSTRY : OTHER FINANCIAL SERVICES,NSE: MYMUDRA
714,Shree Tirupati Balajee Agro Trading Company Ltd.,55.76 x Oversubscribed,"₹14,040",180,"₹1,594.3 M - ₹1,696.5 M",20.4 M,₹78 - ₹83,65.42 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONTAINERS & PACKAGING,NSE: BALAJEE | BSE: 544249
715,Mach Conferences and Events Ltd.,181.99 x Oversubscribed,"₹128,400",600,"₹1,191.6 M - ₹1,252.8 M",5.6 M,₹214 - ₹225,69.93 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : SPECIAL CONSUMER SERVICES,BSE: 544248
716,Namo eWaste Management Ltd.,209.87 x Oversubscribed,"₹128,000",1600,₹481.9 M - ₹512.0 M,6.0 M,₹80 - ₹85,68.99 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : ELECTRONIC COMPONENTS,NSE: NAMOEWASTE
717,Naturewings Holidays Ltd.,364.16 x Oversubscribed,"₹118,400",1600,₹70.3 M,950.4 K,₹74,66.99 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : TRAVEL SUPPORT SERVICES,BSE: 544245
718,Jeyyam Global Foods Ltd.,111.19 x Oversubscribed,"₹118,000",2000,₹792.5 M - ₹819.4 M,13.4 M,₹59 - ₹61,65.76 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER AGRICULTURAL PRODUCTS,NSE: JEYYAM
719,Gala Precision,201.41 x Oversubscribed,"₹14,084",28,"₹1,596.7 M - ₹1,679.3 M",3.2 M,₹503 - ₹529,54.64 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL GOODS,NSE: GALAPREC | BSE: 544244
720,Boss Packaging Solutions Ltd.,127.63 x Oversubscribed,"₹132,000",2000,₹84.1 M,1.3 M,₹66,71.35 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL MACHINERY,NSE: BOSS
721,Baazar Style Retail,40.66 x Oversubscribed,"₹14,060",38,"₹7,939.1 M - ₹8,346.8 M",21.5 M,₹370 - ₹389,28.56 %,SECTOR : RETAILING,INDUSTRY : DEPARTMENT STORES,NSE: STYLEBAAZA | BSE: 544243
722,Travels & Rentals Ltd.,578.15 x Oversubscribed,"₹120,000",3000,₹122.4 M,3.1 M,₹40,62.86 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : TRAVEL SUPPORT SERVICES,BSE: 544242
723,Paramatrix Tech,8.64 x Oversubscribed,"₹132,000",1200,₹338.4 M,3.1 M,₹110,54.61 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,NSE: PARAMATRIX
724,Aeron Composite,35.77 x Oversubscribed,"₹121,000",1000,₹543.0 M - ₹561.0 M,4.5 M,₹121 - ₹125,73.63 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : PLASTIC PRODUCTS,NSE: AERON
725,Ecos Mobility,64.26 x Oversubscribed,"₹13,992",44,"₹5,724.0 M - ₹6,012.0 M",18.0 M,₹318 - ₹334,67.75 %,SECTOR : TRANSPORTATION,INDUSTRY : TRANSPORT RELATED SERVICES,NSE: ECOSMOBLTY | BSE: 544239
726,Indian Phosphate Ltd.,260.23 x Oversubscribed,"₹112,800",1200,₹639.6 M - ₹673.6 M,6.8 M,₹94 - ₹99,72.77 %,SECTOR : FERTILIZERS,INDUSTRY : FERTILIZERS,NSE: IPHL
727,Jay Bee Laminations Ltd.,110.29 x Oversubscribed,"₹138,000",1000,₹273.2 M - ₹289.1 M,2.0 M,₹138 - ₹146,86.34 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : HEAVY ELECTRICAL EQUIPMENT,NSE: JAYBEE
728,Premier Energies,74.38 x Oversubscribed,"₹14,091",33,"₹26,857.4 M - ₹28,304.0 M",62.9 M,₹427 - ₹450,60.04 %,SECTOR : CONSUMER DURABLES,INDUSTRY : OTHER ELECTRICAL EQUIPMENT/PRODUCTS,NSE: PREMIERENE | BSE: 544238
729,Vdeal System,67.57 x Oversubscribed,"₹134,400",1200,₹180.8 M,1.6 M,₹112,66.97 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : HEAVY ELECTRICAL EQUIPMENT,NSE: VDEAL
730,Rapid Multimodal,332.8 x Oversubscribed,"₹134,400",1600,₹84.9 M,1.0 M,₹84,73.47 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,BSE: 544237
731,Resourceful Automobile,397.78 x Oversubscribed,"₹140,400",1200,₹119.9 M,1.0 M,₹117,61.41 %,SECTOR : RETAILING,INDUSTRY : SPECIALTY RETAIL,BSE: 544236
732,Orient Technologies,151.66 x Oversubscribed,"₹14,040",72,"₹2,032.9 M - ₹2,147.6 M",10.4 M,₹195 - ₹206,73.21 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,NSE: ORIENTTECH | BSE: 544235
733,Ideal Technoplast,106.42 x Oversubscribed,"₹121,000",1000,₹160.3 M,1.3 M,₹121,73.5 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : PLASTIC PRODUCTS,NSE: IDEALTECHO
734,QVC Exports,482.06 x Oversubscribed,"₹137,600",1600,₹240.7 M,2.8 M,₹86,73.22 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,NSE: QVCEL
735,Forcas Studio,387.76 x Oversubscribed,"₹123,200",1600,₹360.4 M - ₹374.4 M,4.7 M,₹77 - ₹80,60.3 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,NSE: FORCAS
736,Brace Port Logistics,617.25 x Oversubscribed,"₹121,600",1600,₹231.9 M - ₹244.1 M,3.1 M,₹76 - ₹80,70.11 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,NSE: BRACEPORT
737,Interarch Building,93.53 x Oversubscribed,"₹13,600",16,"₹5,669.4 M - ₹6,002.9 M",6.7 M,₹850 - ₹900,49.11 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: INTERARCH | BSE: 544232
738,Solve Plastic,28.68 x Oversubscribed,"₹109,200",1200,₹118.5 M,1.3 M,₹91,63.33 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : PLASTIC PRODUCTS,NSE: BALCO
739,Broach Lifecare Hospital,150.85 x Oversubscribed,"₹150,000",6000,₹40.2 M,1.6 M,₹25,63.76 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE FACILITIES,BSE: 544231
740,Sunlite Recycling,262.14 x Oversubscribed,"₹120,000",1200,₹288.0 M - ₹302.4 M,2.9 M,₹100 - ₹105,73.53 %,SECTOR : METALS & MINING,INDUSTRY : COPPER,NSE: SUNLITE
741,Positron Energy,385.88 x Oversubscribed,"₹142,800",600,₹487.5 M - ₹512.1 M,2.0 M,₹238 - ₹250,72 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONSULTING SERVICES,NSE: POSITRON
742,Saraswati Saree Depot,107.39 x Oversubscribed,"₹13,680",90,"₹1,520.1 M - ₹1,600.1 M",10.0 M,₹152 - ₹160,74.75 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : OTHER APPARELS & ACCESSORIES,NSE: SSDL | BSE: 544230
743,Aesthetik Engineers,663.27 x Oversubscribed,"₹110,000",2000,₹251.0 M - ₹264.7 M,4.6 M,₹55 - ₹58,73.5 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: AESTHETIK
744,Unicommerce eSolutions,168.35 x Oversubscribed,"₹14,076",138,"₹2,612.1 M - ₹2,765.7 M",25.6 M,₹102 - ₹108,23.63 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT SOFTWARE PRODUCTS,NSE: UNIECOM | BSE: 544227
745,Brainbees Solutions,12.22 x Oversubscribed,"₹14,080",32,"₹39,682.6 M - ₹41,937.3 M",90.2 M,₹440 - ₹465,-,SECTOR : RETAILING,INDUSTRY : INTERNET & CATALOGUE RETAIL,NSE: FIRSTCRY | BSE: 544226
746,Ola Electric,4.27 x Oversubscribed,"₹14,040",195,"₹58,221.1 M - ₹61,455.6 M",808.6 M,₹72 - ₹76,35.81 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : 2/3 WHEELERS,NSE: OLAELEC | BSE: 544225
747,Afcom Holdings,281.39 x Oversubscribed,"₹122,400",1200,₹697.3 M - ₹738.3 M,6.8 M,₹102 - ₹108,42.73 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,BSE: 544224
748,Picturepost Studios,251.51 x Oversubscribed,"₹132,000",6000,₹171.6 M - ₹187.2 M,7.8 M,₹22 - ₹24,68.26 %,SECTOR : MEDIA,INDUSTRY : MOVIES & ENTERTAINMENT,NSE: PPSL
749,Ceigall,13.78 x Oversubscribed,"₹14,060",37,"₹11,870.6 M - ₹12,526.6 M",31.2 M,₹380 - ₹401,82.06 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: CEIGALL | BSE: 544223
750,Dhariwalcorp,164.99 x Oversubscribed,"₹122,400",1200,₹242.0 M - ₹251.5 M,2.4 M,₹102 - ₹106,73.49 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : PETROCHEMICALS,NSE: DHARIWAL
751,Utssav CZ Jewels,44.3 x Oversubscribed,"₹124,800",1200,₹657.1 M - ₹695.0 M,6.3 M,₹104 - ₹110,70.52 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : GEMS & JEWELLERY,NSE: UTSSAV
752,Sathlokhar Synergys,185.02 x Oversubscribed,"₹133,000",1000,₹882.9 M - ₹929.3 M,6.6 M,₹133 - ₹140,62.71 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: SSEGL
753,Rajputana Industries,347.49 x Oversubscribed,"₹108,000",3000,₹226.3 M - ₹238.8 M,6.3 M,₹36 - ₹38,66.08 %,SECTOR : METALS & MINING,INDUSTRY : OTHER NON-FERROUS METALS,NSE: RAJINDLTD
754,Bulkcorp Intl,246.45 x Oversubscribed,"₹120,000",1200,₹197.9 M - ₹207.8 M,2.0 M,₹100 - ₹105,72.26 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONTAINERS & PACKAGING,NSE: BULKCORP
755,Ashapura Logistics,172.89 x Oversubscribed,"₹136,000",1000,₹497.4 M - ₹526.6 M,3.7 M,₹136 - ₹144,67.51 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,NSE: ASHALOG
756,Akums Drugs & Pharma,63.56 x Oversubscribed,"₹14,212",22,"₹17,665.0 M - ₹18,567.4 M",27.3 M,₹646 - ₹679,66.18 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: AKUMS | BSE: 544222
757,Kizi Apparels,109.65 x Oversubscribed,"₹126,000",6000,₹55.8 M,2.7 M,₹21,56.35 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : OTHER APPARELS & ACCESSORIES,BSE: 544221
758,S A Tech Software,558.85 x Oversubscribed,"₹112,000",2000,₹218.4 M - ₹230.1 M,3.9 M,₹56 - ₹59,69.45 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,NSE: SATECH
759,Esprit Stones,172.98 x Oversubscribed,"₹131,200",1600,₹475.2 M - ₹504.2 M,5.8 M,₹82 - ₹87,73.59 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : FURNITURE-FURNISHING,NSE: ESPRIT
760,Aprameya Engineering,179.08 x Oversubscribed,"₹112,000",2000,₹282.2 M - ₹292.3 M,5.0 M,₹56 - ₹58,73.53 %,SECTOR : HARDWARE TECHNOLOGY & EQUIPMENT,INDUSTRY : MEDICAL EQUIPMENT,NSE: APRAMEYA
761,Clinitech Laboratory,37 x Oversubscribed,"₹115,200",1200,₹57.8 M,602.4 K,₹96,61.58 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE SERVICES,BSE: 544220
762,Trom Industries,430.31 x Oversubscribed,"₹132,000",1200,₹300.0 M - ₹313.7 M,2.7 M,₹110 - ₹115,69.52 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: TROM
763,Chetana Education,183 x Oversubscribed,"₹128,000",1600,₹432.0 M - ₹459.0 M,5.4 M,₹80 - ₹85,73.53 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : PUBLISHING,NSE: CHETANA
764,Manglam Infra,337.41 x Oversubscribed,"₹106,000",2000,₹261.4 M - ₹276.2 M,4.9 M,₹53 - ₹56,71.97 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONSULTING SERVICES,NSE: MIEL
765,V L Infraprojects,587.96 x Oversubscribed,"₹117,000",3000,₹172.0 M - ₹185.2 M,4.4 M,₹39 - ₹42,65.39 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: VLINFRA
766,VVIP Infratech,219.97 x Oversubscribed,"₹109,200",1200,₹599.0 M - ₹612.1 M,6.6 M,₹91 - ₹93,68 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,BSE: 544219
767,RNFI Services,212.56 x Oversubscribed,"₹117,600",1200,₹660.9 M - ₹708.1 M,6.7 M,₹98 - ₹105,65.34 %,SECTOR : BANKING AND FINANCE,INDUSTRY : OTHER FINANCIAL SERVICES,NSE: RNFI
768,SAR Televenture,7.99 x Oversubscribed,"₹120,000",600,"₹1,428.6 M - ₹1,500.0 M",7.1 M,₹200 - ₹210,44.89 %,SECTOR : TELECOM SERVICES,INDUSTRY : OTHER TELECOM SERVICES,NSE: SARTELE
769,Sanstar,82.98 x Oversubscribed,"₹13,500",150,"₹4,833.0 M - ₹5,101.5 M",53.7 M,₹90 - ₹95,70.37 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER FOOD & BEVERAGES,NSE: SANSTAR | BSE: 544217
770,Macobs Technologies,190.05 x Oversubscribed,"₹113,600",1600,₹184.3 M - ₹194.6 M,2.6 M,₹71 - ₹75,47.78 %,SECTOR : RETAILING,INDUSTRY : INTERNET & CATALOGUE RETAIL,NSE: MACOBSTECH
